E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
350.1,345,350.1,335,350.1,372,350.1,332,350.1,308,350.1,270,350.1,243,350.1,238
351.8,346,351.8,368,351.8,377,351.8,331,351.8,290,351.8,259,351.8,268,351.8,229
353.6,360,353.6,353,353.6,338,353.6,321,353.6,318,353.6,246,353.6,260,353.6,230
355.3,363,355.3,379,355.3,334,355.3,346,355.3,298,355.3,305,355.3,251,355.3,228
357.1,383,357.1,339,357.1,348,357.1,312,357.1,307,357.1,257,357.1,242,357.1,211
358.8,329,358.8,380,358.8,327,358.8,287,358.8,303,358.8,263,358.8,254,358.8,214
360.6,345,360.6,398,360.6,336,360.6,329,360.6,269,360.6,298,360.6,222,360.6,231
362.4,334,362.4,384,362.4,343,362.4,287,362.4,277,362.4,247,362.4,228,362.4,218
364.1,370,364.1,360,364.1,366,364.1,326,364.1,292,364.1,269,364.1,218,364.1,228
365.9,347,365.9,387,365.9,324,365.9,340,365.9,316,365.9,288,365.9,257,365.9,209
367.6,344,367.6,336,367.6,321,367.6,285,367.6,269,367.6,259,367.6,238,367.6,211
369.4,328,369.4,355,369.4,314,369.4,340,369.4,292,369.4,267,369.4,274,369.4,243
371.1,313,371.1,333,371.1,355,371.1,283,371.1,285,371.1,281,371.1,217,371.1,216
372.9,373,372.9,347,372.9,314,372.9,290,372.9,260,372.9,258,372.9,220,372.9,216
374.6,360,374.6,330,374.6,347,374.6,296,374.6,277,374.6,272,374.6,230,374.6,191
376.4,350,376.4,327,376.4,322,376.4,296,376.4,279,376.4,241,376.4,224,376.4,201
378.1,347,378.1,335,378.1,323,378.1,319,378.1,275,378.1,280,378.1,269,378.1,204
379.9,365,379.9,370,379.9,320,379.9,312,379.9,268,379.9,251,379.9,206,379.9,231
381.6,326,381.6,361,381.6,341,381.6,317,381.6,279,381.6,252,381.6,233,381.6,237
383.4,335,383.4,358,383.4,321,383.4,294,383.4,282,383.4,252,383.4,227,383.4,200
385.1,333,385.1,351,385.1,298,385.1,293,385.1,271,385.1,237,385.1,228,385.1,204
386.9,322,386.9,352,386.9,342,386.9,283,386.9,279,386.9,262,386.9,224,386.9,192
388.6,338,388.6,366,388.6,302,388.6,279,388.6,266,388.6,220,388.6,215,388.6,206
390.4,326,390.4,350,390.4,350,390.4,343,390.4,253,390.4,229,390.4,222,390.4,172
392.1,342,392.1,314,392.1,331,392.1,285,392.1,279,392.1,227,392.1,239,392.1,202
393.9,316,393.9,320,393.9,320,393.9,270,393.9,248,393.9,229,393.9,220,393.9,183
395.6,324,395.6,320,395.6,314,395.6,288,395.6,289,395.6,236,395.6,211,395.6,217
397.4,352,397.4,347,397.4,331,397.4,292,397.4,289,397.4,207,397.4,242,397.4,193
399.1,342,399.1,300,399.1,316,399.1,284,399.1,270,399.1,249,399.1,224,399.1,175
400.9,313,400.9,348,400.9,298,400.9,293,400.9,266,400.9,255,400.9,191,400.9,197
402.6,306,402.6,345,402.6,323,402.6,286,402.6,267,402.6,230,402.6,226,402.6,177
404.4,318,404.4,318,404.4,329,404.4,297,404.4,262,404.4,259,404.4,210,404.4,195
