E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
378.1,339,378.1,250,378.1,155,378.1,97,378.1,91,378.1,63,378.1,60,378.1,52
379.9,368,379.9,263,379.9,176,379.9,117,379.9,86,379.9,55,379.9,47,379.9,37
381.6,348,381.6,236,381.6,162,381.6,102,381.6,101,381.6,63,381.6,52,381.6,53
383.4,338,383.4,246,383.4,173,383.4,90,383.4,95,383.4,46,383.4,50,383.4,30
385.1,314,385.1,218,385.1,171,385.1,109,385.1,78,385.1,50,385.1,49,385.1,52
386.9,338,386.9,246,386.9,172,386.9,123,386.9,67,386.9,62,386.9,31,386.9,33
388.6,348,388.6,232,388.6,162,388.6,128,388.6,78,388.6,53,388.6,50,388.6,53
390.4,309,390.4,256,390.4,150,390.4,125,390.4,79,390.4,44,390.4,34,390.4,48
392.1,329,392.1,251,392.1,149,392.1,90,392.1,82,392.1,49,392.1,37,392.1,39
393.9,354,393.9,253,393.9,145,393.9,92,393.9,66,393.9,57,393.9,42,393.9,43
395.6,355,395.6,221,395.6,184,395.6,117,395.6,90,395.6,51,395.6,33,395.6,48
397.4,307,397.4,244,397.4,161,397.4,118,397.4,73,397.4,59,397.4,40,397.4,30
399.1,345,399.1,266,399.1,154,399.1,113,399.1,67,399.1,50,399.1,55,399.1,47
400.9,318,400.9,239,400.9,185,400.9,113,400.9,61,400.9,52,400.9,41,400.9,43
402.6,317,402.6,214,402.6,159,402.6,100,402.6,87,402.6,57,402.6,35,402.6,41
404.4,307,404.4,241,404.4,150,404.4,103,404.4,92,404.4,60,404.4,54,404.4,30
406.1,348,406.1,246,406.1,162,406.1,113,406.1,80,406.1,71,406.1,40,406.1,40
407.9,333,407.9,246,407.9,174,407.9,102,407.9,75,407.9,71,407.9,41,407.9,45
409.6,363,409.6,237,409.6,176,409.6,112,409.6,75,409.6,46,409.6,45,409.6,32
411.4,348,411.4,238,411.4,166,411.4,113,411.4,74,411.4,60,411.4,51,411.4,35
413.1,353,413.1,249,413.1,170,413.1,113,413.1,75,413.1,60,413.1,40,413.1,28
414.9,377,414.9,251,414.9,167,414.9,99,414.9,72,414.9,58,414.9,49,414.9,30
416.6,318,416.6,221,416.6,180,416.6,106,416.6,80,416.6,59,416.6,36,416.6,30
418.4,350,418.4,266,418.4,166,418.4,120,418.4,77,418.4,57,418.4,45,418.4,34
420.1,311,420.1,238,420.1,198,420.1,111,420.1,80,420.1,57,420.1,43,420.1,23
421.9,354,421.9,258,421.9,151,421.9,111,421.9,77,421.9,62,421.9,49,421.9,41
